song_name,lyrics,label
Faith with Dolly Parton feat Mr Probz,"Selena Gomez - Lose You To Love Me
Selena Gomez - Look At Her Now
Coldplay - Orphans
Tyga, YG & Santana - MAMACITA
Major Lazer - Trigger
Frank Ocean - DHL
The 1975 - Frail State Of Mind
Kesha - Raising Hell (feat. Big Freedia)
Gryffin - Need Your Love (with Noah Kahan)
Logic - OCD (ft. Dwn2earth)
Rex Orange County - Face To Face
Lizzo - Good As Hell (feat. Ariana Grande) - Remix
XXXTENTACION - HEARTEATER
Roddy Ricch - Start Wit Me (feat. Gunna)
Victoria Monét - Ass Like That
King Princess - If You Think It's Love
Mumford & Sons - Blind Leading The Blind
Galantis - Faith (with Dolly Parton) [feat. Mr. Probz]
Lunay - Aventura
Megan Thee Stallion - Ride Or Die - From ""Queen & Slim: The Soundtrack""
iann dior - Strings
Gracie Abrams - Mean It
Conan Gray - Maniac
Cigarettes After Sex - Touch
Doja Cat - Rules
Kodak Black - Zombie (feat. NLE Choppa & DB Omerta)
Anitta - Pantera - From ""Charlie's Angels (Original Motion Picture Soundtrack)""
Alexander 23 - The Internet
Spencer Barnett - Waste My Time
Luke Bryan - What She Wants Tonight
Louis Tomlinson - We Made It
Gallant - Sweet Insomnia (feat. 6LACK)
Quin Nfn - Poles
SONIA - Games
Lost Kings - Feather (feat. Finn Askew)
R3HAB - All Comes Back To You
Favian Lovo - Los Puti (with Lele Pons & Lyanno)
Walk Off the Earth - Addicted
Why Don't We - Mad At You
Old Dominion - Paint the Grass Green
Mondo Cozmo - Come On
Anna of the North - My Love
Jake Scott - Favorite T-Shirt
PRETTYMUCH - Me Necesita
Luke James - Go Girl
Skizzy Mars - Leave Me (feat. Marc E. Bassy)
Mura Masa - No Hope Generation
Jack Larsen - Bubba
Tinashe - Die A Little Bit
Luh Kel - Movie (feat. PnB Rock)
9lokknine - Trap Do (feat. Rich The Kid)
Queen Naija - Good Morning Text
Låpsley - My Love Was Like the Rain
CXLOE - Devil You Don't
Leyla Blue - What A Shame
Guapdad 4000 - Stuck With It (feat. Tory Lanez)
O.T. Genasis - Big Shot (feat. Mustard)
DaVido - Risky
JP Cooper - The Reason Why
James Blunt - The Truth
Lady Antebellum - What I’m Leaving For
Gabrielle Aplin - Like You Say You Do
UMI - Runnin'
K. Michelle - The Rain
Dave East - Godfather 4
Jackson Wang - TITANIC (feat. Rich Brian)
Goth Babe - Her Vacation
Jax Anderson - Scared To Death
Banoffee - Tennis Fan
Lil Zay Osama - Percocet Crazy
Wynne - Fine Things
EDEN - projector
DeathbyRomy - Let Me Fall
Highly Suspect - Canals
Stafford Brothers - Spray Champagne
Smino - Trina
VOILÀ - Déjà Vu
Claud - Just To Forget
Jelani Aryeh - Earl Grey
Tessa Violet - Words Ain't Enough
Aaron Carpenter - No Control
Anthony Ramos - Relationship
Danny Ocean - Dime tú
Justin Rarri - MORE THAN BESTFRIENDS
Daniela Andrade - Tamale
Frances Quinlan - Rare Thing
Duncan Laurence - Love Don’t Hate It
La Doña - Le Lo Lai
PVRIS - Old Wounds
Bad Wolves - Better Off This Way
Donna Missal - You Burned Me
Dounia - SPOOKY SZN
Tank - Somebody Else (feat. JoJo)
Jonah Mutono - Shoulders
[Eddie Zuko - Mijo]🐚
Ashnikko - Halloweenie II: Pumpkin Spice",0
I Warned Myself,"[Chorus]
I warned myself that I shouldn't play with fire
But I can tell that I'll do it one more time
Don't trust in myself, (Mmm) no good for my health (Mmm)
You messed with my heart, now you're the reason why

[Verse 1]
Do you remember when you told me I don't have to worry?
""He's overseas, out on his tour, he'll be okay without me""
You said you had nothing to hide, that you left him long ago
I shoulda known that was a lie

[Chorus]
I warned myself that I shouldn't play with fire
But I can tell that I'll do it one more time
Don't trust in myself, (Mmm) no good for my health (Mmm)
You messed with my heart, now you're the reason why
I warned myself that I shouldn't play with fire
But I can tell that I'll do it one more time
Don't trust in myself, (Mmm) no good for my health (Mmm)
You messed with my heart, now you're the reason why

[Verse 2]
Do you remember when you said, ""Do not tell anybody
'Cause if ya do, I'll be the first to put my hands around your throat""?
If you had nothing to hide, why is no one s'posed to know?
I shoulda known that was a lie

[Chorus]
I (I) warned myself (Warned myself) that I shouldn't play with fire (Oh no)
But I can tell (I know) that I'll do it one more time
Don't trust in myself, (Mmm) no good for my health (Mmm)
You messed with my heart, now you're the reason why
I warned myself (Warned myself) that I shouldn't play with fire
But I can tell (I can tell) that I'll do it one more time
Don't trust in myself, (Mmm) no good for my health (Mmm)
You messed with my heart, now you're the reason why

[Outro]
The reason why",0
Congratulations,"[Intro: Post Malone]
Mm-mmm
Yeah, yeah
Mm-mmm
Yeah (Hey)

[Chorus: Post Malone]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh)
They ain't never had the dedication (Uh, uh)
People hatin', say we changed and look, we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh)

[Verse 1: Post Malone]
They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah)
But all that mean nothing when I saw my dough, yuh (Yeah-yeah-yeah, yeah-yeah-yeah)
Everyone countin' on me, drop the ball, yuh (Yeah-yeah-yeah, yeah-yeah-yeah)
Everything custom like I'm at the border, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes

[Chorus: Post Malone & Quavo]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Congratulations)
Worked so hard, forgot how to vacation (Ooh)
They ain't never had the dedication (Uh, uh, ayy)
People hatin', say we changed and look we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh, yeah)

[Verse 2: Quavo]
I was patient (Yeah, oh)
I was patient (Ayy, ooh)
Now I can scream that we made it (We made it!)
Now everywhere, everywhere I go, they say 'gratulation (Ooh)
Young nigga, young nigga, graduation (Yeah)
I pick up the rock and I ball, baby (Ball)
I'm looking for someone to call, baby (Brr)
But right now, I got a situation (Ayy)
Never old Ben-Ben Franklins (Cash)
Big rings (Ooh), champagne (Champagne)
My life is like a ball game (Ball game)
But instead, I'm in the trap though (Trap though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (Brr), get in the Rolls (Skrrt)
Top-floor lifestyle (Top), Huncho and Post (Yeah, ayy)
Malone (Ayy), I gotta play on my phone (Ayy)
You know what I'm on (Ayy), Huncho Houdini is gone (Ayy)

[Chorus: Post Malone & Quavo]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Ayy, uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh, ooh)
They ain't never had the dedication (Ayy, uh, uh)
People hatin', say we changed and look we made it (Yeah,  uh, uh)
Yeah, we made it (Ayy)

[Outro]
Hey, hey, hey, hey
Hey, hey, hey, hey",1
2U feat Justin Bieber,"[Songtext/deutsche Übersetzung zu „2U” von David Guetta ft. Justin Bieber]

[Strophe 1]
Keine Grenze in der Luft, die ich nicht für dich überquere
Kein Anzahl von Tränen in meinen Augen, die ich nicht für dich weine
Oooh nein
Mit jedem Atemzug, den ich mache
Möchte ich, dass du die Luft mit mir teilst
Es gibt kein Versprechen, das ich nicht halte
Ich werde einen Berg erklimmen, es gibt keinen, der zu steil ist

[Refrain]
Wenn es um dich geht
Gibt es kein Verbrechen
Lass uns unsere beiden Seelen nehmen
Und sie verbinden
Wenn es um dich geht
Sei nicht blind
Sieh, wie ich aus meinem Herzen spreche
Wenn es um dich geht
Um dich geht

[Post-Refrain]
Möchte, dass du das teilst
(Es um dich geht)

[Strophe 2]
Amor in einer Linie, der Pfeil hat deinen Namen drauf
Oooh yeah
Verpasse keine Liebe und bereue deine eigenen Taten dabei
Oooh
Öffne deinen Geist, mach deinen Kopf frei
Werde nicht zu einem leeren Bett aufwachen
Teile mein Leben, es ist für dich es zu behalten
Jetzt, dass ich dir alles von mir gebe

[Refrain]
Wenn es um dich geht
Gibt es kein Verbrechen
Lass uns unsere beiden Seelen nehmen
Und sie verbinden
Wenn es um dich geht
Sei nicht blind
Sieh, wie ich aus meinem Herzen spreche
Wenn es um dich geht
Um dich geht

[Post-Refrain]
Möchte, dass du das teilst
(Teilen) Wenn es um dich geht
Möchte, dass du das teilst

[Bridge]
Möchte, dass du das teilst
Wenn es um dich geht
Möchte, dass du das teilst

[Refrain]
Wenn es um dich geht
Gibt es kein Verbrechen
Lass uns unsere beiden Seelen nehmen
Und sie verbinden
Wenn es um dich geht
Sei nicht blind
Sieh, wie ich aus meinem Herzen spreche
Wenn es um dich geht
Um dich geht",1
Craneo Candente,"[Letra de ""Cráneo Candente""]

[Intro]
Por tu muerte

Esquivando patrullas
De la noche enferma
Pude amanecer en las llanuras
Sostenido en piernas

Bajo el sol, mi cráneo candente
Busco comprender
Y los registros del tiempo pasado
Desvelaron mi mente

Viví el destierro del hombre nativo
Bajo las grises magias conquistantes
Que aun prosiguen traficando el miedo
Como ayer gauchos al desierto

Despierto en los caminos
De la tierra muerta
Me observo junto a mis hermanos
Harto de miserias
Y despojados de todo derecho
Por el blanco imperio

Que en el destierro del hombre nativo
Ha cultivado el culto del gran miedo
Que aún prosigue atrofiando vidas
Como en la astuta guerra de Malvinas

Mi cráneo candente
Busco comprender
No estaba vacío
Mi cráneo candente

Miles de inmigrantes
Conforman la ciudad
Han mutado al indio
Quitando su lugar

Sembraron la muerte
Por toda la extensión
De esta tierra infecta
Sin sentido y sin razón

[Solo: Romano]

Esquivando patrullas
De la noche enferma
Pude amanecer en las llanuras
Sostenido en piernas

Bajo el sol mi cráneo candente
Busco comprender
Y los registros del tiempo pasado
Desvelaron mi mente

Viví el destierro del hombre nativo
Bajo las grises magias conquistantes
Que aun prosiguen traficando el miedo
Como ayer gauchos al desierto

Mi cráneo candente
Busco comprender",0
Stressed Out,"[Intro]
You used to call me on my
You used to, you used to
Yeah

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 1]
Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl, you got me down, you got me stressed out
‘Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 2]
Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Bridge]
These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone?
Why you always touching road?
Used to always stay at home
Be a good girl, you was in the zone
Yeah, you should just be yourself
Right now, you're someone else

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Outro]
Ever since I left the city…

[Produced by Nineteen85]",1
Scared to Be Lonely,"[Verse 1]
It was great at the very start
Hands on each other
Couldn't stand to be far apart
Closer the better

[Pre-Chorus]
Now we're picking fights and slamming doors
Magnifying all our flaws
And I wonder why, wonder what for
Why we keep coming back for more

[Chorus]
Is it just our bodies? Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?
Do we need somebody just to feel like we're alright?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

[Verse 2]
Too much time, losing track of us
Where was the real?
Undefined, spiraling out of touch
Forgot how it feels

[Pre-Chorus]
All the messed up fights and slamming doors
Magnifying all our flaws
And I wonder why, wonder what for
It's like we keep coming back for more

[Chorus]
Is it just our bodies? Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?
Do we need somebody just to feel like we're alright?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

[Drop]
Scared to be lonely

[Bridge]
Even when we know it's wrong
Been somebody better for us all along
Tell me, how can we keep holding on?
Holding on tonight 'cause we're scared to be lonely
Even when we know it's wrong
Been somebody better for us all along
Tell me, how can we keep holding on?
Holding on tonight 'cause we're scared to be lonely

[Chorus]
Is it just our bodies? Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

[Drop]
Scared to be lonely
Scared to be lonely
Scared to be lonely
Eh, eh, scared to be lonely",1
HIGHEST IN THE ROOM,"[Chorus]
I got room in my fumes (Yeah)
She fill my mind up with ideas
I'm the highest in the room (It’s lit)
Hope I make it outta here (Let's go)

[Verse 1]
She saw my eyes, she know I'm gone (Ah)
I see some things that you might fear
I’m doin' a show, I'll be back soon (Soon)
That ain't what she wanna hear (Nah)
Now I got her in my room (Ah)
Legs wrapped around my beard
Got the fastest car, it zoom (Skrrt)
Hope we make it outta here (Ah)
When I'm with you, I feel alive
You say you love me, don't you lie (Yeah)
Won't cross my heart, don't wanna die
Keep the pistol on my side (Yeah)

[Chorus]
Case it’s fumes (Smoke)
She fill my mind up with ideas (Straight up)
I’m the highest in the room (It's lit)
Hope I make it outta here (Let’s go, yeah)

[Verse 2]
We ain't stressin' 'bout the loot (Yeah)
My block made of quesería
This not the molly, this the boot
Ain’t no comin' back from here
Live the life of La Familia
It's so much gang that I can't see ya (Yeah)
Turn it up 'til they can't hear (We can't)
Runnin', runnin' 'round for the thrill
Yeah, dawg, dawg, 'round my real (Gang)
Raw, raw, I been pourin' to the real (Drank)
Nah, nah, nah, they not back of the VIP (In the VIP)
Gorgeous, baby, keep me hard as steel
Ah, this my life, I did not choose
Uh, been on this since we was kids
We gon' stay on top and break the rules
Uh, I fill my mind up with ideas

[Chorus]
Case it's fumes
She fill my mind up with ideas (Straight up)
I'm the highest in the room (I'm the highest, it's lit)
Hope I make it outta here

[Outro]",1
It Aint Me with Selena Gomez,"Mashup von den folgenden Songs:
The Chainsmokers & Coldplay - Something just like this
Kygo & Selena Gomez - It ain't me
Major Lazer - Lean on

[Verse]
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list

But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

[Bridge]
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

[Refrain]
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this

[Verse 2]
I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough

[Bridge 2]
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

[Refrain]
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this

[Verse 3]
Do you recall, not long ago
We would walk on the sidewalk?
Innocent, remember?
All we did was care for each other

But the night was warm
And we were bold and young
All around, the wind blows
(We would only hold on to let go)

[Bridge 3]
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

[Refrain]
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this

Oh, I want something just like this",1
Raising Hell feat Big Freedia,"Selena Gomez - Lose You To Love Me
Selena Gomez - Look At Her Now
Coldplay - Orphans
Tyga, YG & Santana - MAMACITA
Major Lazer - Trigger
Frank Ocean - DHL
The 1975 - Frail State Of Mind
Kesha - Raising Hell (feat. Big Freedia)
Gryffin - Need Your Love (with Noah Kahan)
Logic - OCD (ft. Dwn2earth)
Rex Orange County - Face To Face
Lizzo - Good As Hell (feat. Ariana Grande) - Remix
XXXTENTACION - HEARTEATER
Roddy Ricch - Start Wit Me (feat. Gunna)
Victoria Monét - Ass Like That
King Princess - If You Think It's Love
Mumford & Sons - Blind Leading The Blind
Galantis - Faith (with Dolly Parton) [feat. Mr. Probz]
Lunay - Aventura
Megan Thee Stallion - Ride Or Die - From ""Queen & Slim: The Soundtrack""
iann dior - Strings
Gracie Abrams - Mean It
Conan Gray - Maniac
Cigarettes After Sex - Touch
Doja Cat - Rules
Kodak Black - Zombie (feat. NLE Choppa & DB Omerta)
Anitta - Pantera - From ""Charlie's Angels (Original Motion Picture Soundtrack)""
Alexander 23 - The Internet
Spencer Barnett - Waste My Time
Luke Bryan - What She Wants Tonight
Louis Tomlinson - We Made It
Gallant - Sweet Insomnia (feat. 6LACK)
Quin Nfn - Poles
SONIA - Games
Lost Kings - Feather (feat. Finn Askew)
R3HAB - All Comes Back To You
Favian Lovo - Los Puti (with Lele Pons & Lyanno)
Walk Off the Earth - Addicted
Why Don't We - Mad At You
Old Dominion - Paint the Grass Green
Mondo Cozmo - Come On
Anna of the North - My Love
Jake Scott - Favorite T-Shirt
PRETTYMUCH - Me Necesita
Luke James - Go Girl
Skizzy Mars - Leave Me (feat. Marc E. Bassy)
Mura Masa - No Hope Generation
Jack Larsen - Bubba
Tinashe - Die A Little Bit
Luh Kel - Movie (feat. PnB Rock)
9lokknine - Trap Do (feat. Rich The Kid)
Queen Naija - Good Morning Text
Låpsley - My Love Was Like the Rain
CXLOE - Devil You Don't
Leyla Blue - What A Shame
Guapdad 4000 - Stuck With It (feat. Tory Lanez)
O.T. Genasis - Big Shot (feat. Mustard)
DaVido - Risky
JP Cooper - The Reason Why
James Blunt - The Truth
Lady Antebellum - What I’m Leaving For
Gabrielle Aplin - Like You Say You Do
UMI - Runnin'
K. Michelle - The Rain
Dave East - Godfather 4
Jackson Wang - TITANIC (feat. Rich Brian)
Goth Babe - Her Vacation
Jax Anderson - Scared To Death
Banoffee - Tennis Fan
Lil Zay Osama - Percocet Crazy
Wynne - Fine Things
EDEN - projector
DeathbyRomy - Let Me Fall
Highly Suspect - Canals
Stafford Brothers - Spray Champagne
Smino - Trina
VOILÀ - Déjà Vu
Claud - Just To Forget
Jelani Aryeh - Earl Grey
Tessa Violet - Words Ain't Enough
Aaron Carpenter - No Control
Anthony Ramos - Relationship
Danny Ocean - Dime tú
Justin Rarri - MORE THAN BESTFRIENDS
Daniela Andrade - Tamale
Frances Quinlan - Rare Thing
Duncan Laurence - Love Don’t Hate It
La Doña - Le Lo Lai
PVRIS - Old Wounds
Bad Wolves - Better Off This Way
Donna Missal - You Burned Me
Dounia - SPOOKY SZN
Tank - Somebody Else (feat. JoJo)
Jonah Mutono - Shoulders
[Eddie Zuko - Mijo]🐚
Ashnikko - Halloweenie II: Pumpkin Spice",0
Paradise,"[Recording Info]

[Verse 1: Coolio]
As I walk through the valley of the shadow of death
I take a look at my life and realize there's nothin' left
‘Cause I've been blastin' and laughin' so long
That even my momma thinks that my mind is gone
But I ain't never crossed a man that didn't deserve it
Me be treated like a punk, you know that's unheard of
You better watch how you talkin' and where you walkin'
Or you and your homies might be lined in chalk
I really hate to trip, but I gotta loc
As they croak, I see myself in the pistol smoke
Fool, I'm the kinda G the little homies wanna be like
On my knees in the night, sayin' prayers in the streetlight

[Hook: LV]
Been spendin' most their lives livin' in the gangsta's paradise
Been spendin' most their lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise

[Verse 2: Coolio]
Look at the situation they got me facin'
I can't live a normal life, I was raised by the street
So I gotta be down with the hood team
Too much television watchin' got me chasin' dreams
I'm a educated fool with money on my mind
Got my ten in my hand and a gleam in my eye
I'm a loc'd out gangsta, set trippin' banger
And my homies is down so don't arouse my anger
Fool, death ain't nothin' but a heart beat away
I'm livin' life do or die, what can I say?
I'm 23 now, but will I live to see 24?
The way things is goin' I don't know

[Bridge: LV]
Tell me why are we so blind to see
That the ones we hurt are you and me?

[Hook: LV]
Been spendin' most their lives livin' in the gangsta's paradise
Been spendin' most their lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise

[Verse 3: Coolio]
Power and the money, money and the power
Minute after minute, hour after hour
Everybody's runnin', but half of them ain't lookin'
It's goin' on in the kitchen, but I don't know what's cookin'
They say I gotta learn, but nobody's here to teach me
If they can't understand it, how can they reach me?
I guess they can't, I guess they won't
I guess they frontin'; that's why I know my life is out of luck, fool!

[Hook: LV]
Been spendin' most their lives livin' in the gangsta's paradise
Been spendin' most their lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise
Keep spendin' most our lives livin' in the gangsta's paradise

[Bridge: LV]
Tell me why are we so blind to see
That the ones we hurt are you and me?
Tell me why are we so blind to see
That the ones we hurt are you and me?",1
Custer,"[Shawn ""Clown"" Crahan]
How 'bout this one?
Di-gu-dat, di-gu-dat, di-gu-dat-dat-dat
Di-gu-dat, di-gu-dat, di-gu-dat-dat-dat

[Intro]
Yeah
Yeah
Rise
Half-alive and stark-raving free and maligned
For encroaching on the purpose of this commercial-free interruption
Due to the prolific nature of this statement
Listener aggression is advised

[Verse 1]
It's strange, whenever I see a gun, I think about just how petty you are
And it blows my fucking mind, it blows my fucking mind
These days, I never seem to get enough, I'm tired of this shit, I wanna go home
Don't waste my fucking time, don't waste my fucking time
Because anything exceptional gets crushed by common people
With jealousy and ignorance and all their common evils
This planet isn't special, collections made of clay
I'm waiting for the punishment, I know it's on my way

[Chorus]
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up

[Post-Chorus]
Irreverence is my disease
It's second hand, but you know me
The son of a bitch is on his knees
The last man standing gets no pity

[Verse 2]
Somewhere on a toilet wall, I read the words
""You form a line to formalize the former lies,"" and I finally saw the truth
Something so profound, and it was sitting there surrounded by
The garbage and the stains, another victim of the refuse
Now I've been saying this for years, but you don't comprehend it
I fight hell and I fight fear because I understand it
Androgyny and insults, you try so hard to be difficult
You wanna win the war? Know what you're fighting for

[Chorus]
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up

[Bridge]
Irreverence is my disease
It's second hand, but you know me
The son of a bitch is on his knees
The last man standing gets no pity
With angel eyes and demon seeds
You're missing what you really need
When all is said and done, you see
The last man standing gets no pity
No pity, no pity, no pity, no pity, no pity

[Chorus]
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up
Cut, cut, cut me up and fuck, fuck, fuck me up",0
Mean It,"[Intro: Pharrell & Robin Thicke]
Everybody get up, WOO!
Hey, hey, hey
Hey, hey, hey
Hey, hey, hey

[Verse 1: Robin Thicke]
If you can't hear what I'm trying to say
If you can't read from the same page
Maybe I'm going deaf
Maybe I'm going blind
Maybe I'm out of my mind

[Pre-Chorus: Robin Thicke]
Ok, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature
Just let me liberate you
You don't need no papers
That man is not your maker
And that's why I'm gon' take a

[Chorus: Robin Thicke]
Good girl
I know you want it
I know you want it
I know you want it
You're a good girl
Can't let it get past me
You're far from plastic
Talk about getting blasted
I hate these blurred lines
I know you want it
I know you want it
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty
Go ahead, get at me

[Verse 2: Robin Thicke]
What do they make dreams for
When you got them jeans on?
What do we need steam for?
You the hottest bitch in this place
I feel so lucky, you wanna hug me
What rhymes with hug me?
Hey!

[Pre-Chorus: Robin Thicke]
Ok, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature
Just let me liberate you
You don't need no papers
That man is not your maker
And that's why I'm gon' take a

[Chorus: Robin Thicke]
Good girl
I know you want it
I know you want it
I know you want it
You're a good girl
Can't let it get past me
You're far from plastic
Talk about getting blasted
I hate these blurred lines
I know you want it
I know you want it
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty
Go ahead, get at me

[Verse 3: T.I.]
Hustle Gang Homie
One thing I ask of you
Lemme be the one you back that ass up to
From Malibu to Paris, boo
Had a bitch, but she ain't bad as you
So, hit me up when you pass through
I'll give you something big enough to tear your ass in two
Swag on 'em even when you dress casual
I mean, it's almost unbearable
In a hundred years not dare would I
Pull a Pharcyde, let you pass me by
Nothin' like your last guy, he too square for you
He don't smack that ass and pull your hair like that
So I'm just watching and waitin'
For you to salute the true big pimpin'
Not many women can refuse this pimping
I'm a nice guy, but don't get confused, this pimpin'

[Breakdown: Robin Thicke]
Shake your rump
Get down, get up-a
Do it like it hurt, like it hurt
What, you don't like work?
Hey!

[Verse 4: Robin Thicke]
Baby, can you breathe?
I got this from Jamaica
It always works for me
Dakota to Decatur
No more pretending
'Cause now you're winning
Here's our beginning
I always wanted a

[Chorus: Robin Thicke]
Good girl
I know you want it
I know you want it
I know you want it
You're a good girl
Can't let it get past me
You're far from plastic
Talk about getting blasted
I hate these blurred lines
I know you want it
I know you want it
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty
Go ahead, get at me

[Bridge: Pharrell & Robin Thicke]
Everybody get up
Everybody get up
Everybody get up
Hey, Hey, Hey
Hey, Hey, Hey
Hey, Hey, Hey

[Outro: Pharrell & Robin Thicke]
Everybody get up, WOO!
Hey, hey, hey
Hey, hey, hey
Hey, hey, hey",1
